                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8403,                 2.3872,                 1.0629,                0.24971,                 0.1529,                0.11736,                0.06239,                 1.6491,                 1.6066,                0.99438,              0.0033313,              0.0033313,              0.0033313
                      2,                 1.7486,                 1.6976,                 1.0265,                0.25837,                0.17956,                 0.1498,                0.08074,                 1.6644,                 1.4892,                0.98271,              0.0065986,              0.0065986,              0.0065986
                      3,                 1.7726,                 1.6294,                 1.0203,                0.22219,                 0.2031,                0.16396,                0.08934,                 1.6769,                 1.4257,                0.99805,                 0.0098,                 0.0098,                 0.0098
                      4,                 1.7661,                 1.5957,                 1.0176,                0.26898,                0.22056,                 0.1868,                 0.1037,                 1.6261,                 1.3692,                0.98455,               0.009703,               0.009703,               0.009703
                      5,                 1.7198,                 1.5191,                 1.0059,                0.28814,                0.22834,                0.19803,                0.10989,                 1.5933,                 1.3289,                0.97356,               0.009703,               0.009703,               0.009703
                      6,                 1.6808,                 1.4543,                0.99641,                0.30584,                0.23772,                 0.2047,                0.11469,                 1.5359,                 1.2799,                0.96249,               0.009604,               0.009604,               0.009604
                      7,                 1.6538,                 1.4081,                0.98754,                0.31789,                0.24624,                0.22024,                0.12198,                 1.5289,                  1.241,                0.95676,               0.009505,               0.009505,               0.009505
                      8,                 1.6267,                 1.3588,                0.98129,                0.33171,                0.25243,                0.23052,                 0.1294,                  1.509,                 1.2116,                0.95815,               0.009406,               0.009406,               0.009406
                      9,                 1.6172,                 1.3423,                0.98054,                0.32903,                0.25405,                0.23216,                0.12938,                  1.523,                 1.2067,                0.95556,               0.009307,               0.009307,               0.009307
                     10,                 1.6082,                 1.3214,                0.97457,                0.33039,                0.25759,                0.23604,                0.13269,                 1.4956,                 1.2004,                0.95155,               0.009208,               0.009208,               0.009208
                     11,                 1.5917,                    1.3,                0.97131,                0.33416,                0.26575,                0.23721,                0.13295,                 1.4995,                 1.1822,                0.94838,               0.009109,               0.009109,               0.009109
                     12,                 1.5818,                 1.2761,                0.96944,                0.34222,                0.27336,                0.25212,                0.14092,                 1.4799,                 1.1512,                 0.9467,                0.00901,                0.00901,                0.00901
                     13,                 1.5794,                 1.2751,                  0.967,                 0.3552,                  0.268,                0.24834,                0.13927,                 1.4763,                 1.1565,                0.94644,               0.008911,               0.008911,               0.008911
                     14,                 1.5658,                 1.2518,                 0.9647,                0.36017,                0.26926,                0.25426,                0.14419,                 1.4711,                 1.1459,                0.94128,               0.008812,               0.008812,               0.008812
                     15,                 1.5598,                 1.2357,                0.96023,                0.35195,                0.27522,                0.25881,                0.14658,                 1.4558,                 1.1314,                 0.9426,               0.008713,               0.008713,               0.008713
                     16,                 1.5435,                 1.2214,                0.96013,                0.37488,                0.27207,                0.26189,                0.14667,                 1.4579,                 1.1299,                0.93863,               0.008614,               0.008614,               0.008614
                     17,                  1.547,                   1.22,                0.96029,                0.35938,                0.27949,                0.26461,                0.14952,                 1.4519,                 1.1161,                 0.9407,               0.008515,               0.008515,               0.008515
                     18,                 1.5386,                   1.21,                0.95619,                 0.3754,                0.28637,                0.27275,                0.15258,                 1.4439,                 1.1094,                 0.9395,               0.008416,               0.008416,               0.008416
                     19,                 1.5326,                 1.1981,                0.95543,                0.37016,                0.27922,                0.26937,                0.15239,                 1.4369,                 1.1036,                0.93661,               0.008317,               0.008317,               0.008317
                     20,                 1.5279,                 1.1921,                0.95399,                0.35619,                0.28419,                0.26752,                0.15285,                  1.437,                 1.1004,                0.93445,               0.008218,               0.008218,               0.008218
                     21,                 1.5189,                 1.1855,                0.95213,                 0.3707,                0.29236,                0.27569,                0.15783,                 1.4186,                 1.0875,                0.93217,               0.008119,               0.008119,               0.008119
                     22,                 1.5217,                 1.1815,                0.95072,                0.37307,                0.28347,                0.27445,                0.15631,                  1.422,                 1.0954,                0.93121,                0.00802,                0.00802,                0.00802
                     23,                 1.5168,                 1.1754,                0.94966,                0.38152,                0.28416,                0.27478,                0.15805,                 1.4177,                 1.0872,                0.92983,               0.007921,               0.007921,               0.007921
                     24,                 1.5061,                 1.1602,                0.94813,                0.37748,                0.29151,                0.27801,                0.16002,                 1.4119,                 1.0816,                0.92817,               0.007822,               0.007822,               0.007822
                     25,                 1.5026,                  1.158,                0.94806,                0.38239,                 0.2988,                0.28285,                0.16208,                 1.4138,                 1.0807,                0.93128,               0.007723,               0.007723,               0.007723
                     26,                 1.4944,                 1.1483,                 0.9453,                0.38571,                0.29618,                0.28157,                 0.1602,                 1.4042,                 1.0695,                0.92612,               0.007624,               0.007624,               0.007624
                     27,                 1.4875,                 1.1411,                0.94362,                0.37892,                0.29623,                0.28701,                0.16595,                 1.4052,                 1.0682,                0.92567,               0.007525,               0.007525,               0.007525
                     28,                 1.4903,                 1.1422,                0.94277,                0.38295,                0.29635,                0.28654,                0.16444,                 1.4039,                 1.0657,                0.92685,               0.007426,               0.007426,               0.007426
                     29,                 1.4824,                 1.1356,                0.94194,                0.39828,                0.29361,                0.28921,                0.16835,                 1.3925,                 1.0621,                0.92401,               0.007327,               0.007327,               0.007327
                     30,                 1.4866,                 1.1321,                0.94097,                0.42157,                0.29521,                0.29688,                0.17017,                 1.3964,                 1.0542,                0.92497,               0.007228,               0.007228,               0.007228
