                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.844,                 2.2879,                 1.0388,                0.28517,                0.18154,                0.13489,                0.07183,                 1.6419,                 1.5243,                0.98596,             0.00023771,             0.00023771,             0.00023771
                      2,                 1.7021,                 1.5611,                0.99853,                0.23077,                0.21277,                0.17036,                0.09318,                 1.6195,                 1.3749,                 0.9658,             0.00046629,             0.00046629,             0.00046629
                      3,                 1.6677,                 1.4557,                0.98674,                0.25562,                0.23049,                0.19398,                0.10672,                 1.5595,                 1.2977,                0.96239,             0.00068544,             0.00068544,             0.00068544
                      4,                 1.6265,                   1.38,                0.97892,                0.28915,                0.22845,                0.19869,                0.11011,                 1.5497,                 1.3036,                0.95991,             0.00067159,             0.00067159,             0.00067159
                      5,                  1.595,                 1.3327,                0.97127,                0.30461,                0.25053,                0.22435,                0.12429,                 1.5336,                 1.2295,                0.95343,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.5947,                 1.3134,                0.97084,                0.30818,                0.25134,                0.22843,                 0.1303,                 1.4966,                 1.1924,                0.95003,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.5667,                 1.2732,                0.96432,                0.32797,                0.25477,                0.23695,                0.13356,                 1.4939,                  1.192,                0.94604,             0.00064331,             0.00064331,             0.00064331
                      8,                  1.558,                 1.2565,                 0.9623,                0.36081,                0.26626,                0.24882,                0.13947,                 1.5124,                 1.1899,                0.94473,             0.00062918,             0.00062918,             0.00062918
                      9,                  1.547,                 1.2346,                0.95755,                0.34893,                0.26092,                 0.2486,                0.14129,                 1.4889,                 1.1618,                0.94121,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.5342,                  1.211,                0.95267,                0.35105,                0.27282,                 0.2561,                0.14588,                 1.4641,                 1.1428,                0.93713,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.5362,                 1.2068,                0.95282,                0.36117,                0.27716,                0.26143,                0.14662,                 1.4631,                 1.1349,                0.93642,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.5153,                 1.1937,                0.94979,                0.36585,                0.27947,                0.26291,                0.14545,                 1.4693,                 1.1345,                0.93573,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.5166,                   1.18,                0.94911,                0.34951,                0.27783,                0.25496,                0.14335,                  1.468,                 1.1398,                 0.9349,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.5011,                 1.1669,                0.94638,                0.37296,                0.28529,                0.27207,                0.15423,                 1.4362,                 1.1035,                0.92865,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.5043,                 1.1597,                0.94498,                0.36896,                0.28731,                0.27003,                0.15286,                 1.4429,                  1.107,                0.93067,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.4906,                  1.145,                0.94354,                0.38443,                 0.2836,                 0.2717,                0.15242,                 1.4385,                 1.0975,                0.93005,             0.00051608,             0.00051608,             0.00051608
                     17,                 1.4878,                 1.1442,                0.94356,                0.37588,                0.28189,                0.27398,                0.15501,                 1.4356,                  1.098,                0.93067,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.4837,                 1.1318,                0.94027,                0.36955,                0.29115,                0.27777,                0.15643,                 1.4285,                 1.0872,                0.92801,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.4766,                 1.1247,                0.93807,                0.37751,                0.29602,                0.28439,                0.16081,                 1.4208,                 1.0772,                0.92437,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.4692,                 1.1156,                 0.9381,                0.38519,                0.29335,                0.27995,                0.16061,                 1.4223,                 1.0773,                0.92611,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.4634,                 1.1079,                0.93461,                 0.3816,                0.30053,                0.28703,                0.16383,                 1.4117,                 1.0682,                0.92255,             0.00044539,             0.00044539,             0.00044539
                     22,                 1.4661,                 1.1069,                0.93681,                0.38833,                0.29807,                0.28736,                0.16431,                 1.4137,                 1.0643,                0.92485,             0.00043126,             0.00043126,             0.00043126
                     23,                 1.4566,                 1.0949,                0.93252,                0.39652,                 0.2927,                0.28834,                0.16685,                 1.4061,                 1.0534,                0.92198,             0.00041712,             0.00041712,             0.00041712
                     24,                 1.4526,                 1.0881,                0.93206,                0.38172,                 0.3035,                0.29099,                0.16772,                 1.4082,                 1.0661,                0.92368,             0.00040298,             0.00040298,             0.00040298
                     25,                 1.4419,                 1.0817,                0.93296,                0.38165,                0.30333,                0.29114,                0.16782,                  1.403,                 1.0514,                0.92177,             0.00038884,             0.00038884,             0.00038884
                     26,                 1.4428,                  1.076,                0.93116,                 0.3894,                0.30233,                0.29529,                0.16958,                 1.3923,                 1.0461,                0.91948,             0.00037471,             0.00037471,             0.00037471
                     27,                 1.4402,                 1.0755,                0.93094,                0.39071,                0.30707,                0.29645,                0.17062,                 1.3966,                 1.0496,                0.92042,             0.00036057,             0.00036057,             0.00036057
                     28,                 1.4366,                 1.0675,                0.92898,                    0.4,                  0.307,                0.29626,                0.16947,                 1.3987,                 1.0435,                0.92133,             0.00034643,             0.00034643,             0.00034643
                     29,                 1.4264,                 1.0608,                0.92852,                0.40097,                0.30283,                 0.2962,                0.17038,                 1.3918,                 1.0395,                0.91793,              0.0003323,              0.0003323,              0.0003323
                     30,                 1.4329,                 1.0622,                0.92725,                0.41092,                0.31171,                0.30527,                0.17343,                 1.3888,                 1.0314,                0.91857,             0.00031816,             0.00031816,             0.00031816
                     31,                 1.4233,                 1.0514,                0.92604,                0.41523,                0.30653,                  0.302,                0.17396,                 1.3824,                 1.0277,                0.91819,             0.00030402,             0.00030402,             0.00030402
                     32,                 1.4287,                 1.0519,                 0.9258,                0.40095,                0.30208,                0.30021,                0.17121,                 1.3864,                 1.0285,                0.91845,             0.00028988,             0.00028988,             0.00028988
                     33,                 1.4266,                 1.0528,                0.92851,                0.42437,                0.30578,                0.30458,                0.17573,                 1.3839,                 1.0249,                0.91759,             0.00027575,             0.00027575,             0.00027575
                     34,                 1.4207,                 1.0412,                0.92378,                0.40715,                0.31417,                0.30602,                0.17612,                 1.3823,                 1.0211,                0.91711,             0.00026161,             0.00026161,             0.00026161
                     35,                 1.4119,                 1.0359,                0.92349,                0.40199,                0.31047,                0.30524,                0.17509,                 1.3782,                 1.0181,                0.91617,             0.00024747,             0.00024747,             0.00024747
                     36,                 1.4143,                 1.0337,                0.92241,                0.39971,                 0.3191,                0.30679,                0.17611,                 1.3816,                 1.0177,                0.91662,             0.00023334,             0.00023334,             0.00023334
                     37,                 1.4082,                 1.0308,                0.92296,                0.41574,                0.31593,                0.30762,                0.17715,                 1.3745,                 1.0127,                0.91527,              0.0002192,              0.0002192,              0.0002192
                     38,                 1.4131,                 1.0257,                0.92156,                0.39826,                0.32018,                 0.3097,                0.17804,                 1.3723,                 1.0121,                0.91359,             0.00020506,             0.00020506,             0.00020506
                     39,                 1.4059,                 1.0192,                0.92003,                0.41845,                0.31368,                0.31118,                0.17856,                 1.3718,                 1.0104,                0.91417,             0.00019092,             0.00019092,             0.00019092
                     40,                 1.3985,                 1.0164,                0.91978,                0.42463,                 0.3182,                0.31301,                0.18018,                 1.3686,                 1.0073,                0.91399,             0.00017679,             0.00017679,             0.00017679
                     41,                 1.3783,                0.99397,                0.92017,                0.41252,                0.31408,                0.30845,                0.17765,                 1.3774,                 1.0138,                0.91384,             0.00016265,             0.00016265,             0.00016265
                     42,                  1.362,                0.97699,                0.91591,                 0.4201,                0.31475,                0.31025,                0.17831,                 1.3795,                 1.0113,                 0.9154,             0.00014851,             0.00014851,             0.00014851
                     43,                 1.3648,                0.97444,                0.91563,                0.42476,                0.31327,                 0.3111,                0.17868,                 1.3804,                 1.0118,                0.91622,             0.00013437,             0.00013437,             0.00013437
                     44,                 1.3567,                 0.9682,                0.91596,                0.42346,                0.31514,                0.31208,                0.17981,                 1.3772,                 1.0078,                0.91579,             0.00012024,             0.00012024,             0.00012024
                     45,                 1.3594,                0.96553,                0.91518,                0.42355,                 0.3169,                0.31174,                0.17896,                 1.3752,                 1.0095,                0.91401,              0.0001061,              0.0001061,              0.0001061
                     46,                 1.3535,                0.95671,                0.91372,                0.41925,                0.31733,                0.31385,                0.18043,                 1.3737,                 1.0051,                0.91323,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                  1.347,                0.95493,                0.91284,                0.42357,                0.31639,                0.31404,                0.18096,                 1.3732,                 1.0029,                0.91341,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                 1.3424,                0.95071,                0.91134,                0.42225,                0.31563,                0.31496,                0.18141,                 1.3725,                 1.0016,                 0.9138,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                 1.3403,                0.94507,                0.91059,                0.42398,                0.31786,                  0.315,                0.18133,                 1.3703,                  1.002,                0.91306,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 1.3364,                0.94237,                0.91153,                0.42353,                0.31667,                0.31504,                0.18167,                 1.3686,                 0.9997,                0.91241,             3.5414e-05,             3.5414e-05,             3.5414e-05
