                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.844,                 2.2879,                 1.0388,                0.28517,                0.18154,                0.13489,                0.07183,                 1.6419,                 1.5243,                0.98596,             0.00023771,             0.00023771,             0.00023771
                      2,                 1.7006,                 1.5592,                0.99812,                0.23557,                0.21302,                0.17167,                0.09422,                  1.617,                 1.3675,                0.96491,             0.00045687,             0.00045687,             0.00045687
                      3,                 1.6645,                 1.4534,                0.98606,                0.25236,                0.23796,                0.19459,                0.10725,                 1.5673,                 1.2982,                0.96453,             0.00065718,             0.00065718,             0.00065718
                      4,                 1.6239,                 1.3793,                0.97842,                0.29738,                0.23372,                0.20115,                0.11285,                 1.5523,                 1.2905,                 0.9605,             0.00062918,             0.00062918,             0.00062918
                      5,                 1.5929,                 1.3302,                0.97045,                0.31507,                0.25351,                0.22905,                0.12581,                 1.5333,                 1.2161,                0.94946,             0.00062918,             0.00062918,             0.00062918
                      6,                 1.5912,                 1.3103,                0.97045,                0.31262,                0.25081,                0.22901,                0.13027,                 1.5005,                 1.1969,                0.94966,              0.0006009,              0.0006009,              0.0006009
                      7,                 1.5628,                 1.2721,                0.96347,                0.31826,                0.25912,                0.23653,                0.13271,                 1.4997,                 1.1941,                0.95051,             0.00057263,             0.00057263,             0.00057263
                      8,                 1.5533,                 1.2531,                0.96087,                0.35233,                0.26198,                0.24854,                0.13949,                  1.503,                 1.1698,                0.94293,             0.00054435,             0.00054435,             0.00054435
                      9,                 1.5413,                 1.2289,                0.95572,                0.35446,                0.26559,                0.25191,                0.14181,                  1.482,                 1.1545,                0.94177,             0.00051608,             0.00051608,             0.00051608
                     10,                 1.5285,                 1.2019,                0.95112,                0.35981,                0.27316,                0.25769,                0.14691,                 1.4553,                 1.1296,                0.93633,              0.0004878,              0.0004878,              0.0004878
                     11,                 1.5248,                 1.1963,                 0.9495,                0.36412,                0.27219,                0.26088,                 0.1441,                  1.464,                 1.1296,                0.93628,             0.00045953,             0.00045953,             0.00045953
                     12,                 1.5062,                 1.1806,                0.94691,                0.37779,                0.27752,                0.26893,                0.15051,                 1.4608,                 1.1204,                0.93303,             0.00043126,             0.00043126,             0.00043126
                     13,                 1.5046,                 1.1677,                0.94555,                0.35122,                0.28456,                0.26342,                0.14846,                  1.455,                 1.1243,                0.93281,             0.00040298,             0.00040298,             0.00040298
                     14,                 1.4883,                 1.1496,                0.94298,                0.36016,                 0.2913,                0.26945,                0.15273,                 1.4316,                 1.0969,                0.92947,             0.00037471,             0.00037471,             0.00037471
                     15,                 1.4899,                 1.1435,                0.94115,                0.36517,                0.29087,                0.27532,                 0.1571,                 1.4278,                  1.094,                0.92752,             0.00034643,             0.00034643,             0.00034643
                     16,                 1.4595,                 1.1203,                0.94188,                0.37623,                0.28582,                0.27412,                0.15381,                 1.4483,                 1.0979,                0.93079,             0.00031816,             0.00031816,             0.00031816
                     17,                 1.4455,                 1.0959,                0.93716,                0.36931,                0.29044,                0.27453,                0.15584,                 1.4365,                 1.0857,                0.93194,             0.00028988,             0.00028988,             0.00028988
                     18,                 1.4397,                 1.0863,                0.93699,                0.38565,                 0.2877,                0.27941,                0.15853,                 1.4247,                 1.0734,                0.92674,             0.00026161,             0.00026161,             0.00026161
                     19,                 1.4284,                 1.0709,                0.93388,                0.39015,                0.29061,                 0.2821,                 0.1609,                 1.4185,                  1.067,                0.92594,             0.00023334,             0.00023334,             0.00023334
                     20,                 1.4234,                 1.0632,                0.93125,                0.39128,                0.29445,                  0.285,                0.16169,                 1.4183,                 1.0706,                0.92333,             0.00020506,             0.00020506,             0.00020506
                     21,                 1.4127,                 1.0475,                0.92929,                0.39559,                0.29267,                0.28528,                0.16336,                 1.4169,                 1.0639,                0.92409,             0.00017679,             0.00017679,             0.00017679
                     22,                 1.4123,                 1.0462,                 0.9273,                0.38767,                0.30052,                0.28779,                0.16383,                 1.4114,                  1.059,                0.92307,             0.00014851,             0.00014851,             0.00014851
                     23,                 1.4015,                 1.0324,                0.92501,                0.40448,                0.29624,                0.29134,                0.16667,                 1.4026,                 1.0492,                0.92157,             0.00012024,             0.00012024,             0.00012024
                     24,                  1.398,                 1.0238,                0.92371,                0.40971,                 0.2931,                0.29156,                0.16646,                  1.403,                 1.0463,                0.92076,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     25,                 1.3887,                 1.0141,                0.92299,                0.40357,                0.29868,                0.29293,                0.16742,                 1.3968,                  1.041,                0.92057,             6.3689e-05,             6.3689e-05,             6.3689e-05
