                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8493,                 2.2291,                 1.0432,                0.28625,                 0.1708,                0.13545,                0.07328,                 1.6546,                 1.4974,                0.98335,             0.00023785,             0.00023785,             0.00023785
                      2,                 1.7113,                 1.5971,                  1.007,                0.24782,                0.21193,                0.17332,                0.09588,                 1.6238,                 1.3685,                0.96912,             0.00045701,             0.00045701,             0.00045701
                      3,                 1.6791,                 1.4976,                0.99355,                0.26125,                0.22997,                0.19154,                0.10467,                 1.5843,                 1.3227,                0.96688,             0.00065732,             0.00065732,             0.00065732
                      4,                 1.6574,                 1.4406,                0.98638,                0.29857,                  0.233,                0.20413,                0.11661,                 1.5383,                 1.2635,                 0.9606,             0.00062918,             0.00062918,             0.00062918
                      5,                 1.6355,                 1.3877,                0.98107,                0.30967,                0.24451,                 0.2164,                0.12142,                 1.5494,                 1.2534,                0.95798,             0.00062918,             0.00062918,             0.00062918
                      6,                  1.602,                 1.3376,                0.97405,                 0.3138,                0.24017,                0.21705,                0.12432,                 1.5023,                 1.2247,                0.94823,              0.0006009,              0.0006009,              0.0006009
                      7,                 1.5853,                 1.3128,                0.96819,                0.34199,                0.25329,                0.23768,                0.13363,                 1.4966,                 1.1939,                0.94692,             0.00057263,             0.00057263,             0.00057263
                      8,                 1.5655,                 1.2751,                0.96376,                0.34396,                0.27109,                0.25015,                0.14219,                 1.4781,                 1.1651,                0.94079,             0.00054435,             0.00054435,             0.00054435
                      9,                 1.5589,                 1.2629,                0.96258,                0.34841,                0.26966,                 0.2535,                0.14169,                 1.4692,                 1.1479,                0.94014,             0.00051608,             0.00051608,             0.00051608
                     10,                 1.5536,                 1.2488,                0.95832,                0.35416,                0.27075,                 0.2505,                0.14041,                 1.4703,                 1.1547,                0.93828,              0.0004878,              0.0004878,              0.0004878
                     11,                 1.5376,                 1.2288,                0.95566,                0.34135,                0.27408,                0.25619,                0.14404,                 1.4642,                 1.1443,                0.93733,             0.00045953,             0.00045953,             0.00045953
                     12,                 1.5287,                 1.2098,                0.95364,                0.37072,                0.28223,                0.26522,                0.14977,                 1.4501,                 1.1261,                0.93317,             0.00043126,             0.00043126,             0.00043126
                     13,                 1.5307,                 1.2124,                0.95282,                 0.3607,                0.27264,                 0.2608,                0.14734,                 1.4619,                 1.1254,                0.93541,             0.00040298,             0.00040298,             0.00040298
                     14,                 1.5193,                 1.1934,                0.95075,                0.38287,                0.27987,                0.26742,                0.15371,                 1.4319,                 1.1084,                0.93186,             0.00037471,             0.00037471,             0.00037471
                     15,                 1.5118,                 1.1757,                0.94599,                 0.3684,                0.28814,                0.27243,                0.15419,                 1.4345,                 1.0989,                0.93132,             0.00034643,             0.00034643,             0.00034643
                     16,                 1.4912,                 1.1599,                0.94553,                0.36504,                0.28774,                 0.2696,                0.15425,                 1.4384,                 1.1067,                0.93299,             0.00031816,             0.00031816,             0.00031816
                     17,                 1.4791,                 1.1391,                0.94003,                 0.3636,                0.28405,                0.27014,                0.15328,                 1.4343,                 1.1007,                 0.9319,             0.00028988,             0.00028988,             0.00028988
                     18,                 1.4738,                 1.1302,                0.93992,                0.36823,                 0.2838,                0.27341,                0.15666,                  1.431,                 1.0886,                0.92854,             0.00026161,             0.00026161,             0.00026161
                     19,                 1.4635,                 1.1132,                0.93779,                0.39089,                 0.2904,                0.27765,                0.15841,                 1.4263,                 1.0877,                0.93009,             0.00023334,             0.00023334,             0.00023334
                     20,                 1.4546,                  1.104,                0.93666,                0.38432,                0.28953,                0.27701,                0.15777,                 1.4252,                 1.0886,                0.92744,             0.00020506,             0.00020506,             0.00020506
                     21,                 1.4485,                 1.0932,                0.93333,                0.37882,                0.29181,                0.27971,                0.16088,                 1.4198,                 1.0787,                 0.9267,             0.00017679,             0.00017679,             0.00017679
                     22,                 1.4465,                 1.0845,                 0.9321,                0.38573,                0.28804,                 0.2827,                0.16239,                 1.4144,                 1.0741,                0.92475,             0.00014851,             0.00014851,             0.00014851
                     23,                 1.4337,                 1.0746,                0.92944,                0.38791,                0.29167,                0.28615,                0.16376,                 1.4111,                 1.0649,                0.92472,             0.00012024,             0.00012024,             0.00012024
                     24,                 1.4297,                  1.066,                0.92695,                 0.3954,                0.28984,                 0.2864,                 0.1639,                 1.4118,                 1.0626,                 0.9231,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     25,                 1.4218,                 1.0579,                0.92616,                0.39123,                0.29705,                0.28853,                0.16543,                  1.407,                 1.0579,                0.92334,             6.3689e-05,             6.3689e-05,             6.3689e-05
